,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Date,MACD,Signal_Line,up,down,RSI,EMA10,EMA20,EMA50,EMA200,EMA250,EMA300,DMIN,DMIP,ADX14
28-12-2020,BAJFINANCE,EQ,5184.9,5184.9,5244.8,5175,5198,5204.1,5217.34,1932606,1.00831E+15,101948,284528,0.1472,28-12-2020,0,0,,,,5204.1,5204.1,5204.1,5204.1,5204.1,5204.1,0,0,37.11876373
29-12-2020,BAJFINANCE,EQ,5204.1,5225,5247,5167.5,5195,5200.5,5208.32,1969529,1.02579E+15,110285,260074,0.132,29-12-2020,-0.287179487,-0.057435897,0,-3.6,,5203.445455,5203.757143,5203.958824,5204.064179,5204.071315,5204.07608,7.5,0,37.11876373
30-12-2020,BAJFINANCE,EQ,5200.5,5200.5,5348,5174,5335,5334.15,5282.46,3864700,2.04151E+15,176883,450414,0.1165,30-12-2020,10.1526335,1.984577982,133.65,0,,5227.209917,5216.17551,5209.06436,5205.358565,5205.107798,5204.940358,0,101,37.11876373
31-12-2020,BAJFINANCE,EQ,5334.15,5335,5372.5,5272,5287.5,5295.2,5317.13,2869212,1.5256E+15,135433,544991,0.1899,31-12-2020,15.10915213,4.609492811,0,-38.95,,5239.571751,5223.701652,5212.442228,5206.25251,5205.825664,5205.54009,0,24.5,37.11876373
01-01-2021,BAJFINANCE,EQ,5295.2,5310.2,5338,5250,5272,5280.15,5302.83,1447187,7.67418E+14,74896,247821,0.1712,01-01-2021,17.61971057,7.211536363,0,-15.05,,5246.949614,5229.077685,5215.097435,5206.987808,5206.41789,5206.035837,22,0,37.11876373
04-01-2021,BAJFINANCE,EQ,5280.15,5324,5324,5196.2,5217.1,5216.2,5245.98,2333659,1.22423E+15,115980,536963,0.2301,04-01-2021,14.28445339,8.626119769,0,-63.95,,5241.358775,5227.851239,5215.140673,5207.079472,5206.495835,5206.103373,53.8,0,37.11876373
05-01-2021,BAJFINANCE,EQ,5216.2,5218,5224.2,5062.5,5133,5119,5120.58,3953400,2.02437E+15,219855,1009430,0.2553,05-01-2021,3.754728211,7.651841457,0,-97.2,,5219.111725,5217.484454,5211.37045,5206.203059,5205.798657,5205.524613,133.7,0,37.11876373
06-01-2021,BAJFINANCE,EQ,5119,5130,5168.35,4990.3,5020.95,5030.3,5058,3607923,1.82489E+15,202484,1020849,0.2829,06-01-2021,-11.61362888,3.798747391,0,-88.7,,5184.782321,5199.657363,5204.269648,5204.45278,5204.400262,5204.36033,72.2,0,37.11876373
07-01-2021,BAJFINANCE,EQ,5030.3,5065,5131.55,5021.3,5077.55,5081,5079.71,3035750,1.54207E+15,147514,580409,0.1912,07-01-2021,-19.47757099,-0.856516286,50.7,0,,5165.912808,5188.356662,5199.435544,5203.224394,5203.416993,5203.54066,0,0,37.11876373
08-01-2021,BAJFINANCE,EQ,5081,5130,5138.75,5042,5084.9,5082,5093.85,2998451,1.52736E+15,161323,785268,0.2619,08-01-2021,-25.3370405,-5.752621129,1,0,,5150.655934,5178.227456,5194.830229,5202.018181,5202.449527,5202.733081,0,7.2,37.11876373
