,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Date,MACD,Signal_Line,up,down,RSI,EMA10,EMA20,EMA50,EMA200,EMA250,EMA300,DMIN,DMIP,ADX14
28-12-2020,DEEPAKNTR,EQ,908,916.2,926.2,906.25,911,910.65,916.13,333961,3.05951E+13,15191,119895,0.359,28-12-2020,0,0,,,,910.65,910.65,910.65,910.65,910.65,910.65,0,0,34.88746376
29-12-2020,DEEPAKNTR,EQ,910.65,916.5,936.8,900,923.35,921.05,924.87,1054986,9.75721E+13,40170,206875,0.1961,29-12-2020,0.82962963,0.165925926,10.4,0,,912.5409091,911.6404762,911.0578431,910.7534826,910.7328685,910.719103,0,10.6,34.88746376
30-12-2020,DEEPAKNTR,EQ,921.05,924,935,910.5,925.05,927.85,925.27,523199,4.841E+13,17847,116576,0.2228,30-12-2020,2.012620027,0.535264746,6.8,0,,915.3243802,913.1842404,911.7163591,910.9235972,910.86926,910.8329295,0,0,34.88746376
31-12-2020,DEEPAKNTR,EQ,927.85,920,954.8,918.7,943.75,941.85,942.85,1210127,1.14097E+14,42570,214882,0.1776,31-12-2020,4.033337632,1.234879323,14,0,,920.1472201,915.9143127,912.8980705,911.2313226,911.1161185,911.039023,0,19.8,34.88746376
01-01-2021,DEEPAKNTR,EQ,941.85,949,999,946.95,998.9,987.85,978.75,2415931,2.36459E+14,74407,487802,0.2019,01-01-2021,9.240072649,2.835917988,46,0,,932.4568165,922.7653305,915.8373619,911.9936975,911.7275438,911.549395,0,44.2,34.88746376
04-01-2021,DEEPAKNTR,EQ,987.85,1004.2,1041.2,985.9,1040.95,1034.05,1015.82,1999748,2.03138E+14,76910,420046,0.21,04-01-2021,16.89959356,5.648653102,46.2,0,,950.9283044,933.3638705,920.4731516,913.2081881,912.7022248,912.3633525,0,42.2,34.88746376
05-01-2021,DEEPAKNTR,EQ,1034.05,1034,1054,1004.2,1013,1013.7,1028.12,1332215,1.36967E+14,74347,443278,0.3327,05-01-2021,21.08469292,8.735861065,0,-20.35,,962.34134,941.0149304,924.1291064,914.2081066,913.5069879,913.0366857,0,12.8,34.88746376
06-01-2021,DEEPAKNTR,EQ,1013.7,1015.3,1041.7,1007.1,1033,1033.1,1026.62,863571,8.86558E+13,35039,260556,0.3017,06-01-2021,25.67091387,12.12287163,19.4,0,,975.2065509,949.7849371,928.4024748,915.3911105,914.4599203,913.8344486,0,0,34.88746376
07-01-2021,DEEPAKNTR,EQ,1033.1,1036,1072.5,1036,1063,1059.5,1060.32,1276096,1.35307E+14,49979,421471,0.3303,07-01-2021,31.07754379,15.91380606,26.4,0,,990.5326325,960.2339907,933.5435542,916.8250298,915.6156181,914.802326,0,30.8,34.88746376
08-01-2021,DEEPAKNTR,EQ,1059.5,1086,1086,1040.1,1057,1054.65,1058.11,655421,6.93509E+13,29828,212699,0.3245,08-01-2021,34.57245278,19.6455354,0,-4.85,,1002.190336,969.2259916,938.2928266,918.1964225,916.7234618,915.7315464,0,13.5,34.88746376
11-01-2021,DEEPAKNTR,EQ,1054.65,1060.5,1063,1020,1029.95,1028.15,1033.94,726331,7.50981E+13,62459,374427,0.5155,11-01-2021,34.80268116,22.67696456,0,-26.5,,1006.910275,974.8378019,941.8166373,919.290488,917.6113227,916.4785129,20.1,0,34.88746376
12-01-2021,DEEPAKNTR,EQ,1028.15,1033.3,1040,1022.75,1028.6,1028.2,1030.55,516550,5.3233E+13,39530,211566,0.4096,12-01-2021,34.59043638,25.05965892,0.05,0,,1010.781134,979.919916,945.2042202,920.3741647,918.4925074,917.2208484,0,0,34.88746376
13-01-2021,DEEPAKNTR,EQ,1028.2,1033.5,1043.8,1015,1030.1,1027.5,1024.72,737911,7.5615E+13,48050,370391,0.5019,13-01-2021,33.97411426,26.84254999,0,-0.7,,1013.820928,984.4513526,948.4315057,921.4400934,919.361093,917.9536002,7.75,0,34.88746376
14-01-2021,DEEPAKNTR,EQ,1027.5,1030.1,1043,1017.95,1039,1035.6,1028.14,347795,3.57583E+13,28695,152798,0.4393,14-01-2021,33.75022526,28.22408504,8.1,0,,1017.780759,989.3226523,951.849878,922.5760129,920.2872994,918.7353038,0,0,34.88746376
15-01-2021,DEEPAKNTR,EQ,1035.6,1039,1040.85,1011,1019,1022.2,1024.83,370563,3.79762E+13,43309,175239,0.4729,15-01-2021,32.12124983,29.003518,0,-13.4,72.93851532,1018.584257,992.4538283,954.6087063,923.5672964,921.0993528,919.4227769,6.95,0,34.88746376
18-01-2021,DEEPAKNTR,EQ,1022.2,1012.5,1033.95,1004,1011,1011.6,1014.23,1006666,1.02099E+14,46224,553934,0.5503,18-01-2021,29.63334886,29.12948417,0,-10.6,68.60489008,1017.314392,994.2772732,956.843659,924.4432437,921.8204735,920.0352502,7,0,34.88746376
19-01-2021,DEEPAKNTR,EQ,1011.6,1021,1031,1011,1015.5,1014.5,1019.41,934269,9.52402E+13,29902,696600,0.7456,19-01-2021,27.57777574,28.81914249,2.9,0,68.09354771,1016.802685,996.2032472,959.104692,925.3393308,922.5589558,920.6629229,0,0,34.88746376
20-01-2021,DEEPAKNTR,EQ,1014.5,1017.5,1022.9,1000.1,1010,1009.3,1008.11,746794,7.52847E+13,42172,503202,0.6738,20-01-2021,25.23819252,28.10295249,0,-5.2,64.62172122,1015.43856,997.450557,961.0731354,926.1747603,923.2501195,921.2518736,10.9,0,34.88746376
21-01-2021,DEEPAKNTR,EQ,1009.3,1013.8,1018.8,1007,1015,1013.15,1011.9,420354,4.25356E+13,34014,223474,0.5316,21-01-2021,23.42469351,27.1673007,3.85,0,56.71087533,1015.022458,998.945742,963.1153654,927.0401856,923.9664532,921.8624924,0,0,34.88746376
