Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Date,MACD,Signal_Line,up,down,RSI,EMA10,EMA20,EMA50,EMA200,EMA250,EMA300,-DM,+DM,ADX14
2020-12-28,SUPREMEIND,EQ,1673.55,1681.95,1681.95,1599.85,1650.0,1644.6,1657.15,224099,37136490320000.0,12319,95898,0.4279,2020-12-28,0.0,0.0,,,,1644.6,1644.6,1644.6,1644.6,1644.6,1644.6,0.0,0.0,31.70958297418202
2020-12-29,SUPREMEIND,EQ,1644.6,1652.85,1679.45,1638.45,1670.0,1673.0,1660.23,36418,6046233895000.0,3641,19916,0.5468999999999999,2020-12-29,2.2655270655272943,0.4531054131054589,28.40000000000009,0.0,,1649.7636363636364,1647.3047619047618,1645.7137254901959,1644.8825870646767,1644.8262948207168,1644.7887043189367,0.0,0.0,31.70958297418202
2020-12-30,SUPREMEIND,EQ,1673.0,1679.0,1680.0,1634.0,1640.0,1639.95,1644.18,44573,7328608984999.999,5439,32052,0.7191,2020-12-30,1.3782274494526519,0.6381298203748975,0.0,-33.049999999999955,,1647.9793388429753,1646.6043083900227,1645.4876970395999,1644.8335065963715,1644.7874398819063,1644.7565534596747,4.4500000000000455,0.0,31.70958297418202
2020-12-31,SUPREMEIND,EQ,1639.95,1640.0,1666.05,1625.0,1629.95,1629.9,1640.71,61954,10164880515000.0,6090,36915,0.5958,2020-12-31,-0.13436600985892255,0.4836306543281335,0.0,-10.049999999999955,,1644.6921863260704,1645.0134218766873,1644.8764148027528,1644.684914490935,1644.668814862927,1644.6578388187465,9.0,0.0,31.70958297418202
2021-01-01,SUPREMEIND,EQ,1629.9,1631.0,1734.7,1610.0,1698.0,1687.2,1657.58,121820,20192672515000.0,13006,74627,0.6126,2021-01-01,3.253025052046496,1.0375095338718061,57.299999999999955,0.0,,1652.4208797213303,1649.0311912217646,1646.5361632418608,1645.1079501676422,1645.0077087684017,1644.9405109860636,0.0,68.65000000000009,31.70958297418202
2021-01-04,SUPREMEIND,EQ,1687.2,1697.8,1730.0,1688.25,1710.25,1722.7,1719.23,73000,12550368840000.0,9357,42489,0.5820000000000001,2021-01-04,8.701801239555834,2.570367875008612,35.5,0.0,,1665.1989015901793,1656.0472682482632,1649.522980369631,1645.8800103649792,1645.6267708499283,1645.457185331671,0.0,0.0,31.70958297418202
2021-01-05,SUPREMEIND,EQ,1722.7,1721.9,1757.0,1707.05,1741.0,1748.3,1741.6,82042,14288435740000.0,14377,51951,0.6332,2021-01-05,14.913784848122532,5.039051269631396,25.59999999999991,0.0,,1680.3081922101464,1664.8332427008095,1653.3965889825865,1646.899114739457,1646.4448842296101,1646.1405262929222,0.0,27.0,31.70958297418202
2021-01-06,SUPREMEIND,EQ,1748.3,1748.0,1765.0,1720.3,1748.3,1756.85,1743.86,105528,18402559905000.0,10487,73826,0.6996,2021-01-06,20.29281719274718,8.089804454254553,8.549999999999955,0.0,,1694.2248845355743,1673.5967433959704,1657.4535854930734,1647.993153398766,1647.3246062676212,1646.8761374138994,0.0,8.0,31.70958297418202
2021-01-07,SUPREMEIND,EQ,1756.85,1765.0,1804.5,1748.55,1788.65,1790.9,1785.7,242322,43271417720000.0,18147,126078,0.5203,2021-01-07,26.992140913547246,11.870271746113092,34.05000000000018,0.0,,1711.8021782563787,1684.7684821201638,1662.6867782188353,1649.4151120714153,1648.4686333093136,1647.8331066005178,0.0,39.5,31.70958297418202
2021-01-08,SUPREMEIND,EQ,1790.9,1800.0,1819.0,1776.0,1797.95,1798.7,1804.32,188202,33957650939999.996,8633,151165,0.8031999999999999,2021-01-08,32.55551829122783,16.00732105513604,7.7999999999999545,0.0,,1727.6017822097642,1695.6191028706244,1668.0206300533907,1650.900533841849,1649.6656959921079,1648.8355444304145,0.0,14.5,31.70958297418202
2021-01-11,SUPREMEIND,EQ,1798.7,1815.0,1825.0,1766.7,1801.0,1800.1,1799.86,53545,9637330200000.0,7970,39645,0.7404000000000001,2021-01-11,36.65496759520852,20.136850363150536,1.3999999999998636,0.0,,1740.7832763534434,1705.5696645019934,1673.2002131885517,1652.3851056444178,1650.8643757053183,1649.8406238694151,9.299999999999955,0.0,31.70958297418202
2021-01-12,SUPREMEIND,EQ,1800.1,1809.15,1820.0,1752.45,1756.6,1772.95,1779.46,32577,5796960335000.0,4391,19096,0.5861999999999999,2021-01-12,37.28325445621681,23.566131181763794,0.0,-27.149999999999864,,1746.631771561908,1711.9868393113275,1677.1119695340988,1653.584756334523,1651.8371695243993,1650.6586263686215,14.25,0.0,31.70958297418202
2021-01-13,SUPREMEIND,EQ,1772.95,1773.0,1788.65,1727.45,1746.25,1752.6,1757.62,79093,13901554240000.0,6055,26812,0.33899999999999997,2021-01-13,35.7272597808676,25.998356901584557,0.0,-20.350000000000136,,1747.7169040051972,1715.8547593769151,1680.0722844543302,1654.5699826396524,1652.6400606038862,1651.3359776884313,25.0,0.0,31.70958297418202
2021-01-14,SUPREMEIND,EQ,1752.6,1756.9,1779.35,1720.0,1740.0,1738.9,1749.12,71653,12533004875000.0,7469,44449,0.6203000000000001,2021-01-14,33.008149881025474,27.400315497472743,0.0,-13.699999999999818,,1746.1138305497068,1718.0495441981614,1682.3792536914154,1655.4090872900042,1653.3273907982775,1651.9177984346875,7.4500000000000455,0.0,31.70958297418202
2021-01-15,SUPREMEIND,EQ,1738.9,1740.1,1759.95,1698.05,1710.0,1714.0,1711.31,57092,9770227235000.0,10399,35979,0.6302000000000001,2021-01-15,28.515307083359403,27.623313814650075,0.0,-24.90000000000009,60.5857230018304,1740.274952267942,1717.663873322146,1683.6192829584188,1655.9920814463226,1653.8108378835502,1652.3303047573804,21.950000000000045,0.0,31.70958297418202
2021-01-18,SUPREMEIND,EQ,1714.0,1700.0,1717.6,1664.5,1671.0,1670.0,1671.72,416500,69627160265000.0,9463,99615,0.23920000000000002,2021-01-18,21.160341277970474,26.330719307314155,0.0,-44.0,49.56319161327898,1727.497688219225,1713.124456815275,1683.0851934306377,1656.1314637204885,1653.9398351912512,1652.447711370288,33.549999999999955,0.0,31.70958297418202
2021-01-19,SUPREMEIND,EQ,1670.0,1678.2,1728.95,1675.0,1705.0,1701.55,1690.7,25857,4371632760000.0,3711,14040,0.543,2021-01-19,17.673569307617527,24.599289307374832,31.549999999999955,0.0,59.00848201228429,1722.7799267248201,1712.0221275947724,1683.8093034921815,1656.583389454613,1654.319199054269,1652.773972424306,0.0,11.350000000000136,31.70958297418202
2021-01-20,SUPREMEIND,EQ,1701.55,1709.95,1723.7,1668.0,1696.0,1693.55,1698.13,58371,9912166090000.0,7781,42427,0.7269,2021-01-20,14.102183070929414,22.49986806008575,0.0,-8.0,59.3644254818302,1717.4653945930347,1710.2628773476513,1684.1912915905275,1656.9512164252142,1654.631795077741,1653.0449094846097,7.0,0.0,31.70958297418202
2021-01-21,SUPREMEIND,EQ,1693.55,1702.05,1774.0,1702.0,1767.8,1758.7,1751.77,124434,21797916580000.0,7220,93264,0.7495,2021-01-21,16.340530799211592,21.268000607910917,65.15000000000009,0.0,60.28185217141213,1724.9625955761192,1714.875936647875,1687.1132017242323,1657.9636421324262,1655.461023802221,1653.746936664114,0.0,50.299999999999955,31.70958297418202
2021-01-22,SUPREMEIND,EQ,1758.7,1775.5,1784.0,1710.0,1736.95,1725.75,1747.25,30693,5362841010000.0,4393,10957,0.35700000000000004,2021-01-22,15.279515135624024,20.070303513453542,0.0,-32.950000000000045,50.441836882514835,1725.1057600168247,1715.91156172903,1688.6283702840665,1658.6381332554868,1656.0210953257092,1654.2253623341198,0.0,10.0,31.70958297418202
