Date,Symbol,Prev Close,Open,High,Low,Last Price,Close,Average Price,volume,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,MACD,Signal_Line,histogram,up,down,RSI,SMA5,SMA10,SMA20,EMA,#NAME?,#NAME?,ADX14
01-04-2019,INFY,743.85,742,760,742,753.75,755.1,754.32,6584982,4967199560,149150,3788889,57.54,0,0,0,,,,,,,755.1,0,0,34.00886411
02-04-2019,INFY,755.1,759,765.8,754.6,755,759.4,760.56,7283600,5539625143,169885,4249666,58.35,0.343019943,0.068603989,0.274415954,4.3,0,,,,,755.5095238,0,5.8,34.00886411
03-04-2019,INFY,759.4,756,758.5,746.8,751.65,753.3,752.48,6897127,5189955761,200625,4213270,61.09,0.121249016,0.079132994,0.042116022,0,-6.1,,,,,755.299093,7.8,0,34.00886411
04-04-2019,INFY,753.3,751.4,753.8,745.1,748.95,747.9,748.43,7688525,5754345633,178872,5138276,66.83,-0.484654121,-0.033624429,-0.451029692,0,-5.4,,,,,754.5944174,1.7,0,34.00886411
05-04-2019,INFY,747.9,750.9,760.95,748,759.55,759.3,758.69,6276040,4761576373,148065,3851738,61.37,-0.044439723,-0.035787488,-0.008652235,11.4,0,,755,,,755.0425682,0,7.15,34.00886411
08-04-2019,INFY,759.3,763.05,770,755.4,769.15,767.25,762.8,4919911,3752910224,143815,2380635,48.39,0.935152068,0.158400423,0.776751645,7.95,0,,757.43,,,756.2051807,0,9.05,34.00886411
09-04-2019,INFY,767.25,770,773,758.2,760.8,760.6,765.16,6730692,5150087735,146107,3353329,49.82,1.161497179,0.359019775,0.802477404,0,-6.65,,757.67,,,756.6237349,0,3,34.00886411
10-04-2019,INFY,760.6,764,766.7,751.3,752.85,752.7,759.53,7031088,5340336511,134089,4201714,59.76,0.695397228,0.426295265,0.269101963,0,-7.9,,757.55,,,756.2500459,6.9,0,34.00886411
11-04-2019,INFY,752.7,751.75,751.75,740.05,743.4,742.7,744.27,8200995,6103734443,158348,5047043,61.54,-0.47542635,0.245950942,-0.721377292,0,-10,,756.51,,,754.9595653,11.25,0,34.00886411
12-04-2019,INFY,742.7,743.1,751.55,740.6,748,747.75,746.82,7043212,5260021361,165165,2587611,36.74,-0.984471302,-0.000133507,-0.984337795,5.05,0,,754.2,754.6,,754.2729401,0,0,34.00886411
